Lemma,Sense,Word Class,Year,Quotation,Source,Note
爆縮,/,/,1945,/,/,from Japanese: 1945 (NDL)
保留(1),/,verb,1903,締結撤兵條約。其始或以保留權利許還清國為名。,『國民同盟會始末』55,from Japanese: 1871 (NDL)
保守,/,/,1897,/,/,from Japanese: 1886 (Shen 2014)
保守黨,/,/,1897,/,/,from Japanese: 1886 (Shen 2014)
保守主義,/,/,1898,/,/,from Japanese: 1884 (Shen 2014)
備忘録,/,/,1903,/,/,from Japanese: 1876 (Nikkoku)
倍數,/,/,1903,/,/,from Japanese: 1874 (Nikkoku)
備品,/,/,1908,/,/,from Japanese: 1887 (NDL)
被選舉權,/,/,1903,/,/,from Japanese: 1889 (NDL)
被害人,(alive),noun,1792 (1205),許被害人直訴􀝟前,『建炎以來繫年要錄·巻一百九十四』25 (淵),
被害者,/,/,1903,/,/,from Japanese: 1882 (NDL)
被告,/,noun,a1368 (c1301),/,/,also in Japanese: 1875 (NDL)
背景(1),/,noun,1916,/,/,from Japanese: 1891 (Nikkoku)
背景(2),/,noun,1910,滬上所謂佈景有四大缺點⋯僅用背景一幅,『時報』3月14日「劇談」,cf. s.v. 佈景
備考,/,verb,Ming,/,/,
背面,/,noun,1822,"inside or back surface, 背面","Morrison, _A Dictionary of the Chinese Language_, iii, s.v. OUTSIDE",
被面,/,noun,1847,"Coverlet, 被窩 … 被面","Medhurst, _English and Chinese Dictionary_, s.v. Coverlet",
被遣送者,/,/,1905,/,/,from Japanese: 1899 (NDL)
被殺,/,preposition + verb,1857,又辨金色之吏、曰穵林敦、亦被殺,"『六合叢談』1/4, 15",
被保險者,/,/,1905,/,/,from Japanese: 1883 (NDL)
本校,/,verb,1934 (1931),本校法者.以本書前後互證,陳垣『元典章校補釋例·第四十三校法四例』86,cf. 理校
本體,/,noun,1844,"Essence, 精 … 本體 … 精氣",Williams『英華韵府歴階』s.v. Essence,
本義,/,noun,1868,"the proper sense of a word, 本意 … 本義",Lobscheid『英華字典』s.v. Proper,
本質,/,noun,a1722 (1674),夫風之本質。乃地所𤼵乾熱之氣。,Verbiest『坤輿圖説·風』(Chinois 1526),
鼻音,/,noun,1869,"Twang, a, … or nasal sound, 鼻音 … 鼻聲",Lobscheid『英華字典』s.v. Twang,
比較,/,/,1890,/,/,from Japanese: 1873 (Nikkoku)
比較級,/,/,1903,/,/,from Japanese: 1881 (NDL)
比例,/,/,1890,/,/,from Japanese: 1875 (Nikkoku)
比例尺,/,/,1905,/,/,from Japanese: 1877 (NDL)
比重(1),/,noun,1867,"specific gravity, 比重",Lobscheid『英華字典』s.v. Gravity,
比擬,/,/,1903,/,/,from Japanese: 1884 (Nikkoku)
筆名,/,noun,1908,/,/,from Japanese: 1882 (NDL)
筆者,/,noun,1927,/,/,from Japanese: 1875 (Yomidasu)
閉鎖,/,/,1902,/,/,from Japanese: 1881 (NDL)
閉關鎖國,/,idiom,1902,議者知務農矣.而又爲閉關鎖國之說.,『原富·部戊』15,
必然,/,adverb,1703,Forçosam<sup>te</sup> piĕ̇ tińg. piĕ̇ kińg. piĕ̇ jên.,"Varo, _Arte de la lengua mandarina_, 65",
編入,/,/,1905,/,/,from Japanese: 1881 (NDL)
編制,/,/,1902,/,/,from Japanese: 1878 (NDL)
編纂,/,/,1902,/,/,from Japanese: 1872 (NDL)
變數,/,/,1903,/,/,from Japanese: 1875 (Nikkoku)
變態,/,/,1902,/,/,from Japanese: 1883 (NDL)
避雷針,/,noun,1884,船上一切鐵錨鐵鍊⋯避雷針天文表量水表等物咸備,『申報』5月24日「觀南琛船記」,from Japanese: 1869 (NDL)
邊際效用,/,NP,1919,所以我去年敎授經濟學的時候，一般學生，對邊際效用，懷疑的也不少。,『新潮』1/3「經濟學上之新學說」383+,邊際效益 is post-1949
辯證法,/,noun,1902,而希臘自芝諾芬尼梭格拉底屢用辯證法至阿里士多德而論理學蔚爲一科矣,『新民叢報』7「論中國學術思想變遷之大勢」59,
標本,/,noun,1900,采集介類爲標本.神必活.形必全.,『農學報』xcviii「製介類標本法」,
標記,/,noun,1858,朔望上下弦表、歷年測量寒熱表、行進江海標記、潮汐表、中外寄書表,"『六合叢談』2/1, 15",earliest use as noun
標準時,/,noun,1904,不如用一定地點之時間爲基礎⋯稱稱為標準時,『中等地文學敎科書』22+,based on Japanese textbooks
表達,/,verb,1907,坎拿大首相勞利安已向駐亞托華日本領事表逹歉仄之意,『申報』9月12日「美洲排斥黃人暴動事彙誌」,泣紅亭 cited by Han-ta (2nd edn) is a 1981 translation
表面張力,/,noun,1905,凡液體之表面因分子力不平均而生之收縮力為表面張力,湖北學務處『物理學』,
表面化,/,/,1921,/,/,from Japanese: 1904 (Yomidasu)
表決,/,/,1902,/,/,from Japanese: 1882 (NDL)
表現,/,/,1903,/,/,from Japanese: 1891 (Nikkoku)
表象,/,/,1903,/,/,from Japanese: 1886 (NDL)
表情,/,noun,1920,演劇人在舞台上必須常常注意，使面部表情與劇本中所包含的思想常相貫串,『時事新報』9月3日「戲劇的動作法」,still very much a verbal noun
別字(1),variant ideograph,noun,Northern Ch'i,/,『顏氏家訓』,
,/,/,1930,中國的俗字或別字，在十年之內，總可以研究完備了。,劉復『宋元以來俗字譜·序』5,
,/,/,2016,『碑別字新編 (修訂本)』,/,
別字(2),misused ideograph,noun,Ch'ing,/,『日知錄』,postdating
兵工廠,/,noun,1882,赴大坂兵工廠督造山野砲數十門,『申報』10月6日「彚譯東報」,
冰箱(1),/,noun,1869,"Refrigerator 涼箱 … 冰箱",Lobscheid『英華字典』s.v. Refrigerator,
兵役,/,/,1902,/,/,from Japanese: 1872 (NDL)
兵營,/,noun,1822,"CAMP, 營 … 兵營 … 營寨","Morrison, _A Dictionary of the Chinese Language_, iii, s.v. CAMP",
病變,/,noun,1908,"The transformation of a disease into another, (醫) 病症, 病變", 顏惠慶『英華大辭典』s.v. Diadexis,
病院,/,/,1905,/,/,from Japanese: 1862 (NDL)
病毒,/,noun,1900,殘餘之繭所出之蛾.大抵遺傳病󵦠.,『農學報』cvii「試驗蠶病成蹟報第三」19,
摒絕,/,verb,1835,是以摒絕塑像、真心崇拜萬物之主宰,Gützlaff『東西洋考每月統記傳』乙未六月「俠膽」,from 屏絕
並列,/,verb,1847,"Collateral, running parallel, 並列","Medhurst, _English and Chinese Dictionary_, s.v. Collateral+",
摒棄,/,verb,c1715 (c1683),丹砂白雉總摒棄檳榔萬斛無所須,『百尺梧桐閣集·遺稿詩十卷·送孫編修同周儀部奉使安南』(T5463/3140),from 屏棄
並行(2),/,verb,1869,"Concurrent, acting in conjunction … 同行 … 並行",Lobscheid『英華字典』s.v. Concurrent,
不道德,/,/,1903,/,/,from Japanese: 1886 (NDL)
不動產,/,/,1902,/,/,from Japanese: 1871 (NDL)
不景氣,/,/,1920,/,/,from Japanese: 1884 (NDL)
不可抗力,/,/,1903,/,/,from Japanese: 1878 (NDL)
不合理,/,adjective,1822,"It does not comport with right reason, 不合理 … 與理不相符","Morrison, _A Dictionary of the Chinese Language_, iii, s.v. COMPORT",
不平等,/,adjective,a1029 (418),看是断事不平等二人俱犯罪󶅠何􁍏比丘駈比丘尼,『摩訶僧紀律·卷十二』21 (K0889),
部分,/,/,1902,/,/,from Japanese: 1881 (Nikkoku)
部隊,/,/,1903,/,/,from Japanese: 1875 (NDL)
不全,/,adjective,Chou,/,/,
不許,/,verb,1815,書上有講不明白的義旨就來細問不許含混,"Morrison, _A Dictionary of the Chinese Language_, i/i, 750",
採光,/,/,1902,/,/,from Japanese: 1886 (NDL)
材料,/,/,1902,/,/,from Japanese: 1878 (NDL)
裁判,/,/,1890,/,/,from Japanese: 1875 (NDL)
參及,/,/,1902,/,/,from Japanese: 1891 (NDL)
參考,/,/,1899,/,/,from Japanese: 1875 (NDL)
參數,/,/,1903,/,/,from Japanese: 1881 (NDL)
參戰,/,/,1905,/,/,from Japanese: 1894 (NDL)
參照,/,/,1903,/,/,from Japanese: 1881 (NDL)
草案,/,/,1902,/,/,from Japanese: 1880 (NDL)
策劃,/,/,1902,/,/,from Japanese: 1882 (NDL)
策略,/,/,1903,/,/,from Japanese: 1881 (NDL)
層次,/,/,1905,/,/,from Japanese: 1891 (Nikkoku)
差別,/,/,1902,/,/,from Japanese: 1877 (NDL)
長波,/,/,1930,/,/,from Japanese: 1912 (NDL)
長度,/,/,1905,/,/,from Japanese: 1875 (NDL)
場合,/,/,1902,/,/,from Japanese: 1884 (Nikkoku)
場景,/,/,1920,/,/,from Japanese: 1905 (NDL)
常任,/,/,1902,/,/,from Japanese: 1885 (NDL)
常識,/,/,1902,/,/,from Japanese: 1892 (NDL)
廠長,/,/,1902,/,/,from Japanese: 1891 (NDL)
車庫,/,/,1915,/,/,from Japanese: 1905 (NDL)
車站,/,/,1905,/,/,from Japanese: 1872 (NDL)
撤退,/,/,1903,/,/,from Japanese: 1881 (NDL)
塵埃,/,/,1902,/,/,from Japanese: 1885 (Nikkoku)
沈殿,/,/,1900,/,/,from Japanese: 1874 (NDL)
沈默,/,/,1902,/,/,from Japanese: 1883 (NDL)
襯衣,/,/,1912,/,/,from Japanese: 1887 (Yomidasu)
成本,/,/,1905,/,/,from Japanese: 1881 (NDL)
成分,/,/,1902,/,/,from Japanese: 1875 (Nikkoku)
成果,/,/,1919,/,/,from Japanese: 1884 (NDL)
成績,/,/,1902,/,/,from Japanese: 1879 (NDL)
成交,/,/,1911,/,/,from Japanese: 1891 (Yomidasu)
成就,/,/,1903,/,/,from Japanese: 1886 (Nikkoku)
成熟,/,/,1902,/,/,from Japanese: 1876 (NDL)
成長,/,/,1905,/,/,from Japanese: 1882 (NDL)
程度,/,/,1890,/,/,from Japanese: 1871 (NDL)
程式,/,/,1903,/,/,from Japanese: 1884 (NDL)
誠實,/,/,1902,/,/,from Japanese: 1881 (Nikkoku)
城市,/,/,1903,/,/,from Japanese: 1888 (NDL)
城鎮,/,/,1910,/,/,from Japanese: 1895 (Yomidasu)
吃虧,/,/,1902,/,/,from Japanese: 1887 (Nikkoku)
持久,/,/,1905,/,/,from Japanese: 1884 (NDL)
持續,/,/,1902,/,/,from Japanese: 1881 (NDL)
尺寸,/,/,1903,/,/,from Japanese: 1875 (NDL)
充實,/,/,1902,/,/,from Japanese: 1883 (NDL)
充足,/,/,1903,/,/,from Japanese: 1878 (NDL)
抽象,/,/,1902,/,/,from Japanese: 1875 (Nikkoku)
出版,/,/,1890,/,/,from Japanese: 1868 (NDL)
出版物,/,/,1903,/,/,from Japanese: 1881 (NDL)
出口,/,/,1890,/,/,from Japanese: 1862 (NDL)
出面,/,/,1912,/,/,from Japanese: 1899 (Yomidasu)
出納,/,/,1902,/,/,from Japanese: 1872 (NDL)
出身,/,/,1903,/,/,from Japanese: 1884 (NDL)
出售,/,/,1905,/,/,from Japanese: 1891 (Yomidasu)
出席,/,/,1902,/,/,from Japanese: 1881 (NDL)
出血,/,/,1903,/,/,from Japanese: 1874 (NDL)
初歩,/,/,1902,/,/,from Japanese: 1883 (NDL)
初級,/,/,1905,/,/,from Japanese: 1885 (NDL)
儲蓄,/,/,1890,/,/,from Japanese: 1873 (NDL)
處罰,/,/,1902,/,/,from Japanese: 1875 (NDL)
處分,/,/,1903,/,/,from Japanese: 1872 (NDL)
處境,/,/,1919,/,/,from Japanese: 1905 (Yomidasu)
處理,/,/,1902,/,/,from Japanese: 1881 (NDL)
傳達,/,/,1903,/,/,from Japanese: 1872 (NDL)
傳單,/,/,1905,/,/,from Japanese: 1884 (Yomidasu)
傳遞,/,/,1902,/,/,from Japanese: 1881 (NDL)
傳感器,/,/,1930,/,/,from Japanese: 1925 (NDL)
傳統,/,/,1905,/,/,from Japanese: 1892 (NDL)
窗口,/,/,1920,/,/,from Japanese: 1905 (Yomidasu)
垂直,/,/,1902,/,/,from Japanese: 1875 (NDL)
吹噓,/,/,1915,/,/,from Japanese: 1902 (Yomidasu)
純粹,/,/,1902,/,/,from Japanese: 1881 (Nikkoku)
磁場,/,/,1903,/,/,from Japanese: 1887 (NDL)
磁鐵,/,/,1905,/,/,from Japanese: 1874 (NDL)
刺激,/,/,1902,/,/,from Japanese: 1879 (NDL)
次序,/,/,1903,/,/,from Japanese: 1882 (NDL)
從属,/,/,1905,/,/,from Japanese: 1881 (NDL)
粗魯,/,/,1912,/,/,from Japanese: 1899 (Nikkoku)
促成,/,/,1905,/,/,from Japanese: 1884 (Yomidasu)
促進,/,/,1902,/,/,from Japanese: 1881 (NDL)
催促,/,/,1903,/,/,from Japanese: 1882 (Yomidasu)
存款,/,/,1905,/,/,from Japanese: 1873 (NDL)
存在,/,/,1902,/,/,from Japanese: 1884 (Nikkoku)
錯誤,/,/,1903,/,/,from Japanese: 1881 (NDL)
答案,/,/,1905,/,/,from Japanese: 1883 (NDL)
打擊,/,/,1902,/,/,from Japanese: 1884 (NDL)
大氣,/,/,1903,/,/,from Japanese: 1871 (NDL)
代表,/,/,1890,/,/,from Japanese: 1872 (NDL)
代名詞,/,/,1902,/,/,from Japanese: 1875 (NDL)
代理,/,/,1903,/,/,from Japanese: 1873 (NDL)
待遇,/,/,1902,/,/,from Japanese: 1881 (NDL)
單純,/,/,1903,/,/,from Japanese: 1885 (Nikkoku)
單位,/,/,1902,/,/,from Japanese: 1875 (NDL)
擔保,/,/,1905,/,/,from Japanese: 1873 (NDL)
誕生,/,/,1910,/,/,from Japanese: 1887 (Nikkoku)
彈壓,/,/,1903,/,/,from Japanese: 1881 (NDL)
導師,/,/,1905,/,/,from Japanese: 1884 (NDL)
導致,/,/,1912,/,/,from Japanese: 1902 (Yomidasu)
到達,/,/,1903,/,/,from Japanese: 1881 (NDL)
道德,/,/,1902,/,/,from Japanese: 1881 (NDL)
得意,/,/,1905,/,/,from Japanese: 1882 (Nikkoku)
登記,/,/,1902,/,/,from Japanese: 1872 (NDL)
等級,/,/,1903,/,/,from Japanese: 1875 (NDL)
低調,/,/,1925,/,/,from Japanese: 1912 (Yomidasu)
抵抗,/,/,1902,/,/,from Japanese: 1881 (NDL)
地理,/,/,1890,/,/,from Japanese: 1870 (NDL)
地球,/,/,1848,/,/,from Japanese: 1602 (NDL)
地位,/,/,1903,/,/,from Japanese: 1881 (NDL)
地面,/,/,1905,/,/,from Japanese: 1875 (Nikkoku)
地震,/,/,1890,/,/,from Japanese: 1872 (NDL)
地質,/,/,1902,/,/,from Japanese: 1873 (NDL)
地主,/,/,1905,/,/,from Japanese: 1872 (NDL)
典型,/,/,1919,/,/,from Japanese: 1891 (NDL)
點名,/,/,1903,/,/,from Japanese: 1884 (NDL)
電視,/,/,1930,/,/,from Japanese: 1925 (NDL)
電影,/,/,1905,/,/,from Japanese: 1899 (Yomidasu)
電子,/,/,1903,/,/,from Japanese: 1891 (NDL)
定義,/,/,1902,/,/,from Japanese: 1875 (NDL)
動機,/,/,1903,/,/,from Japanese: 1881 (NDL)
動力,/,/,1902,/,/,from Japanese: 1874 (NDL)
動物,/,/,1890,/,/,from Japanese: 1872 (NDL)
動作,/,/,1902,/,/,from Japanese: 1881 (NDL)
動態,/,/,1919,/,/,from Japanese: 1905 (NDL)
對策,/,/,1903,/,/,from Japanese: 1882 (NDL)
對象,/,/,1902,/,/,from Japanese: 1881 (NDL)
對照,/,/,1905,/,/,from Japanese: 1875 (NDL)
對話,/,/,1903,/,/,from Japanese: 1884 (NDL)
多樣,/,/,1912,/,/,from Japanese: 1902 (NDL)
發行,/,/,1890,/,/,from Japanese: 1871 (NDL)
發明,/,/,1890,/,/,from Japanese: 1873 (NDL)
發誓,/,/,1910,/,/,from Japanese: 1899 (Nikkoku)
發言,/,/,1902,/,/,from Japanese: 1881 (NDL)
發展,/,/,1903,/,/,from Japanese: 1882 (NDL)
法律,/,/,1890,/,/,from Japanese: 1871 (NDL)
法庭,/,/,1903,/,/,from Japanese: 1875 (NDL)
法院,/,/,1890,/,/,from Japanese: 1875 (NDL)
繁榮,/,/,1905,/,/,from Japanese: 1884 (NDL)
反對,/,/,1902,/,/,from Japanese: 1881 (NDL)
反應,/,/,1903,/,/,from Japanese: 1882 (NDL)
反映,/,/,1912,/,/,from Japanese: 1902 (NDL)
反省,/,/,1905,/,/,from Japanese: 1884 (NDL)
範疇,/,/,1903,/,/,from Japanese: 1881 (NDL)
範圍,/,/,1902,/,/,from Japanese: 1881 (NDL)
方程式,/,/,1905,/,/,from Japanese: 1875 (NDL)
方針,/,/,1903,/,/,from Japanese: 1881 (NDL)
方案,/,/,1919,/,/,from Japanese: 1905 (NDL)
方式,/,/,1902,/,/,from Japanese: 1881 (NDL)
放射,/,/,1905,/,/,from Japanese: 1891 (NDL)
放逐,/,/,1903,/,/,from Japanese: 1884 (NDL)
費用,/,/,1890,/,/,from Japanese: 1872 (NDL)
分析,/,/,1902,/,/,from Japanese: 1881 (NDL)
分配,/,/,1903,/,/,from Japanese: 1882 (NDL)
分裂,/,/,1905,/,/,from Japanese: 1884 (NDL)
分鐘,/,/,1902,/,/,from Japanese: 1881 (NDL)
封建,/,/,1903,/,/,from Japanese: 1871 (NDL)
封鎖,/,/,1905,/,/,from Japanese: 1884 (NDL)
否定,/,/,1902,/,/,from Japanese: 1881 (NDL)
否認,/,/,1903,/,/,from Japanese: 1882 (NDL)
服從,/,/,1905,/,/,from Japanese: 1881 (NDL)
服務,/,/,1902,/,/,from Japanese: 1881 (NDL)
負荷,/,/,1912,/,/,from Japanese: 1905 (NDL)
腐敗,/,/,1903,/,/,from Japanese: 1881 (NDL)
副作用,/,/,1930,/,/,from Japanese: 1921 (NDL)
複習,/,/,1905,/,/,from Japanese: 1884 (NDL)
複製,/,/,1912,/,/,from Japanese: 1902 (NDL)
複雜,/,/,1902,/,/,from Japanese: 1881 (NDL)
改革,/,/,1890,/,/,from Japanese: 1871 (NDL)
改進,/,/,1903,/,/,from Japanese: 1882 (NDL)
改善,/,/,1902,/,/,from Japanese: 1881 (NDL)
概念,/,/,1903,/,/,from Japanese: 1881 (NDL)
概率,/,/,1912,/,/,from Japanese: 1905 (NDL)
概括,/,/,1905,/,/,from Japanese: 1884 (NDL)
干涉,/,/,1890,/,/,from Japanese: 1871 (NDL)
感想,/,/,1903,/,/,from Japanese: 1882 (NDL)
感染,/,/,1902,/,/,from Japanese: 1881 (NDL)
感情,/,/,1903,/,/,from Japanese: 1881 (NDL)
